id,gel_num,gel_name,gel_hex,manufacturer_id
130,AP8630,V.I. Pink,#d45aa3,1
131,AP8650,In the Pink,#bf589f,1
132,AP8680,Pinkerbell,#ecc0d9,1
133,AP8700,Tickled Pink,#e19ac6,1
134,AP8730,Screamin' Pink,#d73d95,1
135,AP8750,Hot Pink,#aa208f,1
136,AP8800,Sassy Pink,#a84595,1
137,AP8840,Ruby Slippers,#b50260,1
138,AP8850,Apollo Magenta,#96005c,1
139,AP8900,Passion Pink,#91268e,1
140,R00,No Color, #FFFFFF,2
141,R01,Light Bastard Amber ,#FF9F8F,2
142,R02,Bastard Amber ,#FECE8F,2
143,R03,Dark Bastard Amber ,#FFA886,2
144,R04,Medium Bastard Amber,#FFB199,2
145,R05,Rose Tint,#F8CAC4,2
146,R06,No Color Straw,#F4EBD6,2
147,R07,Pale Yellow,#FBE7B9,2
148,R08,Pale Gold,#F6D4AA,2
149,R09,Pale Amber Gold,#FFC08A,2
150,R10,Medium Yellow,#FEFF01,2
151,R11,Light Straw,#FFBF45,2
152,R12,Straw,#FEFF01,2
153,R13,Straw Tint,#FFC37A,2
154,R14,Medium Straw ,#FFAB03,2
155,R15,Deep Straw ,#FF9E00,2
156,R16,Light Amber ,#FFA860,2
157,R17,Light Flame ,#FF9760,2
158,R18,Flame ,#FF9650,2
159,R19,Fire ,#E43600,2
160,R20,Medium Amber ,#FF8B00,2
161,R21,Golden Amber ,#FF7900,2
162,R22,Deep Amber ,#F85000,2
163,R23,Orange ,#FF6000,2
164,R24,Scarlet ,#E13327,2
165,R25,Orange Red ,#D42300,2
166,R26,Light Red ,#B01100,2
167,R27,Medium Red ,#60000B,2
168,R30,Light Salmon Pink ,#FF8573,2
169,R31,Salmon Pink ,#F5828D,2
170,R32,Medium Salmon Pink,#F35A5C,2
171,R33,No Color Pink,#ECBCD0,2
172,R34,Flesh Pink,#F48B9F,2
173,R35,Light Pink,#F1B6C9,2
174,R36,Medium Pink,#EA8BAB,2
175,R37,Pale Rose Pink,#D6A6C8,2
176,R38,Light Rose,#CA9AB2,2
177,R39,Skelton Exotic Sangria,#8A035E,2
178,R40,Light Salmon,#FF6446,2
179,R41,Salmon ,#F13F23,2
180,R42,Deep Salmon,#B6172B,2
181,R43,Deep Pink ,#D75393,2
182,R44,Middle Rose ,#CD57A8,2
183,R45,Rose,#951D42,2
184,R46,Magenta ,#740027,2
185,R47,Light Rose Purple,#41346A,2
186,R48,Rose Purple,#764397,2
187,R49,Medium Purple,#4D0D64,2
188,R50,Mauve,#903038,2
189,R51,Surprise Pink,#AAACD5,2
190,R52,Light Lavender,#7782C7,2
191,R53,Pale Lavender,#ABBEDC,2
192,R54,Special Lavender,#93A4D4,2
193,R55,Lilac,#5088CA,2
194,R56,Gypsy Lavender,#004695,2
195,R57,Lavender,#5802A3,2
196,R58,Deep Lavender,#5D0DAA,2
197,R59,Indigo,#002656,2
198,R60,No Color Blue,#70AED5,2
199,R61,Mist Blue,#8FC6E4,2
200,R62,Booster Blue,#449FCC,2
201,R63,Pale Blue,#6AB7E1,2
202,R64,Light Steel Blue,#0186C9,2
203,R65,Daylight Blue,#0096D3,2
204,R66,Cool Blue,#73C9E2,2
205,R67,Light Sky Blue,#0091D4,2
206,R68,Sky Blue,#0079C0,2
207,R69,Brilliant Blue,#0081B8,2
208,R70,Nile Blue,#00A1CB,2
209,R71,Sea Blue,#008FB9,2
