id,gel_num,gel_name,gel_hex,manufacturer_id
617,L153,Pale Salmon,#FFC8C8,3
618,L4,Medium Bastard Amber,#FFC8B4,3
619,L151,Gold Tint,#FFCDC3,3
620,L154,Pale Rose,#FFD5CF,3
621,L248,Half Minus Green,#FFE2E4,3
622,L249,Quarter Minus Green,#FFECF0,3
623,L279,Eighth Minus Green,#FFF3F7,3
624,L3,Lavender Tint,#FAF0FA,3
625,L218,Eighth CTB,#F5FFFF,3
626,L278,Eighth Plus Green,#F3FFF3,3
627,L159,No Colour Straw,#FFFAEB,3
628,L223,Eighth CTO,#FFF3E8,3
629,L444,Eighth CT Straw,#FAF3E8,3
630,L602,Platinum,#a5a5aa,3
631,L603,Moonlight White,#c8cdcd,3
632,L130,Clear,#FFFFFF,3
633,L550,ALD Gold,#e3ca3c,3
634,G1510,UV Filter,#fefefc,4
635,G100,Gypsy Pink,#9d5884,4
636,G101,Lavender Blue,#b63e97,4
637,G103,Blue Rose,#913679,4
638,G104,Broadway Rose,#fb6c9a,4
639,G105,Antique Rose,#fca2be,4
640,G105x,3/4 Antique Rose,#e1a0d6,4
641,G106,1/2 Antique Rose,#f9c9d9,4
642,G107,1/4 Antique Rose,#fed3dc,4
643,G108,1/8 Antique Rose,#fde4e8,4
644,G109,Naked Pink,#fce4f2,4
645,G110,Dark Rose,#ff3bc1,4
646,G120,Bright Pink,#fb3195,4
647,G135,Soft Pink,#de8893,4
648,G140,Dark Magenta,#c20a54,4
649,G150,Pink Punch,#f73f89,4
650,G152,Party Pink,#ff95af,4
651,G155,Light Pink,#f9ced8,4
652,G160,Chorus Pink,#fcbac8,4
653,G180,Cherry,#f23958,4
654,G190,Cold Pink,#fc7f79,4
655,G195,Nymph Pink,#f29286,4
656,G220,Pink Magenta,#e82452,4
657,G235,Pink Red,#ef2525,4
658,G245,Light Red,#dd2324,4
659,G250,Medium Red XT,#b11c22,4
660,G270,Red Orange,#e50100,4
661,G280,Fire Red,#fe1800,4
662,G290,Fire Orange,#ff3300,4
663,G305,French Rose,#fecdc9,4
664,G310,English Rose,#f8aa93,4
665,G315,Autumn Glory,#fd5f2f,4
666,G320,Peach,#fd7a50,4
667,G323,Indian Summer,#ef8354,4
668,G324,Dark Bastard Amber,#f6915d,4
669,G325,Bastard Amber,#fcc398,4
670,G327,Pale Sepia,#fae8da,4
671,G328,Tan Tone,#e6bfae,4
672,G330,Sepia,#b5744a,4
673,G335,Coral,#fb6737,4
674,G338,Forever Amber,#ffeacf,4
675,G340,Light Bastard Amber,#f3cfb7,4
676,G342,Light Honey,#f9a674,4
677,G343,Honey,#fca057,4
678,G345,Deep Amber,#f56300,4
679,G350,Dark Amber,#ec7d23,4
680,G355,Amber Flame,#ff8525,4
681,G360,Amber Blush,#fab766,4
682,G363,Sand,#fee4cd,4
683,G364,Pale Honey,#fdd3a9,4
684,G365,Warm Straw,#ffd897,4
685,G370,Spice,#704210,4
686,G375,Flame,#fe8f02,4
687,G380,Golden Tan,#935c02,4
688,G382,Brass,#e58e1a,4
689,G385,Light Amber,#fec157,4
690,G388,Gold Rush,#fdab19,4
691,G390,Walnut,#683d34,4
692,G395,Golden Sunset,#fdac12,4
693,G410,Yellow Gold,#f5c245,4
694,G420,Medium Amber,#f6bc58,4
695,G425,Sunflower,#fdc056,4
696,G430,Warm Ivory,#f6cc9a,4
697,G433,Double Ivory,#f9e2ae,4
698,G435,Ivory,#fff2df,4
699,G440,Very Light Straw,#ffeed0,4
700,G450,Saffron,#fdd639,4
701,G455,Yellow Sun,#ffb400,4
702,G460,Mellow Yellow,#ffe866,4
703,G470,Pale Gold,#fdee71,4
704,G480,Medium Yellow,#ffed7f,4
705,G515,Lime Yellow,#f1f7dd,4
706,G525,Lime Sun,#eff9e1,4
707,G535,Lime,#c9e7b5,4
708,G540,Pale Green,#a4e19b,4
709,G570,Light Green Yellow,#2fc12e,4
710,G650,Grass Green,#365915,4
711,G655,Rich Green,#12562f,4
712,G660,Medium Green,#02c042,4
713,G666,Wicked Green,#00a261,4
714,G670,Emerald Green,#02745b,4
715,G680,Kelly Green,#2db99c,4
716,G685,Pistachio,#29aa8e,4
717,G690,Bluegrass,#298880,4
718,G710,Blue Green,#178191,4
719,G720,Light Steel Blue,#aedde3,4
720,G725,Princess Blue,#20b8df,4
721,G730,Azure Blue,#5093a6,4
722,G740,Off Blue,#009dd0,4
723,G750,Nile Blue,#0a85cb,4
724,G760,Aqua Blue,#1d85a2,4
725,G770,Christel Blue,#079cc7,4
726,G780,Shark Blue,#3c9abc,4
727,G785,Beverly Blue,#80cae5,4
728,G810,Moon Blue,#176ebb,4
729,G813,Dark Moon Blue,#0055a6,4
730,G815,Moody Blue,#197acb,4
731,G830,North Sky Blue,#a6c1ec,4
732,G835,Aztec Blue,#4750c5,4
733,G840,Steel Blue,#2860b5,4
734,G841,Diamond Blue,#404bc9,4
735,G842,Whisper Blue,#8b9ee0,4
736,G845,Cobalt,#2434ad,4
737,G847,City Blue,#304dc5,4
738,G848,Bonus Blue,#2536c2,4
739,G850,Primary Blue,#1a2cb6,4
740,G855,Blue Jazz,#0114a1,4
741,G870,Winter White,#eaeaf2,4
742,G872,Opera White,#dbe1ef,4
743,G880,Daylight Blue,#4762bd,4
744,G882,Southern Sky,#285fb1,4
745,G885,Blue Ice,#c8cbea,4
746,G888,Blue Bell,#6571d3,4
747,G889,Hot Blue,#292c79,4
748,G890,Dark Sky Blue,#081dac,4
749,G905,Dark Blue,#0b0cbf,4
750,G910,Alice Blue,#460bbf,4
751,G915,Twilight,#640bbf,4
752,G925,Cosmic Blue,#5b12aa,4
753,G930,Real Congo Blue,#4f2892,4
754,G940,Light Purple,#7b439e,4
755,G948,African Violet,#601498,4
756,G960,Medium Lavender,#494f9b,4
757,G970,Special Lavender,#af58c1,4
758,G980,Surprise Pink,#e3aee2,4
759,G982,Lovely Lavender,#9c7aac,4
760,G985,Ripe Plum,#652176,4
761,G990,Dark Lavender,#a93ca9,4
762,G995,Orchid,#85257e,4
763,G1510,UV Shield,#fefefc,4
764,G1514,.15 ND,#ffffff,4
765,G1515,.3 ND,#8d949c,4
766,G1516,.6 ND,#4f5660,4
767,G1517,.9 ND,#35363a,4
768,G1518,1.2 ND,#232323,4
769,G1520,Extra Blue CTB,#0452a5,4
770,G1523,Full Blue CTB,#005ba1,4
771,G1526,3/4 Blue CTB,#2773b1,4
772,G1529,1/2 Blue CTB,#678bbb,4
773,G1532,1/4 Blue CTB,#73addb,4
774,G1534,1/6 Blue CTB,#b1c1d8,4
775,G1535,1/8 Blue CTB,#d6e0ec,4
776,G1540,Extra CTO,#f05030,4
777,G1543,Full CTO,#f48152,4
778,G1546,3/4 CTO,#f48142,4
779,G1549,1/2 CTO,#f8a281,4
780,G1552,1/4 CTO,#ffcd90,4
781,G1555,1/8 CTO,#fed1b4,4
782,G1556,CTO/.3 ND,#b04f25,4
783,G1557,CTO/.6 ND,#432422,4
784,G1558,CTO/.9 ND,#2b221d,4
785,G1578,Xtra Minus Green,#d03485,4
786,G1580,Minus Green,#ef6ea6,4
787,G1581,3/4 Minus Green,#ee8bb7,4
788,G1582,1/2 Minus Green,#f09abf,4
789,G1583,1/4 Minus Green,#f6adca,4
790,G1584,1/8 Minus Green,#f8b8d0,4
791,G1585,Plus Green,#74bd74,4
792,G1587,1/2 Plus Green,#a7d398,4
793,G1588,1/4 Plus Green,#c7e1be,4
794,G1589,1/8 Plus Green,#d6ecdf,4
795,G1590,Fluorofilter CW,#f15026,4
796,G1594,MV - INCD,#e58e47,4
